nobs lift graph cw ew path cpp pl
15 6.407100e-02 6.796600e-02 2.091170e-01 1.700000e-04 7.871700e-02 1.154300e-02 6.600000e-05
15 6.150800e-02 6.396900e-02 2.036760e-01 1.820000e-04 6.204700e-02 1.316600e-02 7.100000e-05
15 6.212600e-02 6.144400e-02 1.930620e-01 1.690000e-04 2.541400e-02 1.262700e-02 6.100000e-05
15 6.302700e-02 6.766700e-02 2.112890e-01 1.690000e-04 5.484300e-02 1.203300e-02 6.500000e-05
15 6.382500e-02 6.514700e-02 2.118120e-01 1.750000e-04 7.465200e-02 1.331100e-02 6.800000e-05
15 6.582000e-02 6.664200e-02 2.125930e-01 1.710000e-04 4.592400e-02 1.379300e-02 7.000000e-05
17 6.833000e-02 7.802200e-02 2.643120e-01 1.700000e-04 6.054300e-02 1.468800e-02 7.300000e-05
17 7.088600e-02 7.250900e-02 2.661820e-01 1.770000e-04 3.669000e-02 1.645000e-02 6.900000e-05
17 6.647100e-02 7.452600e-02 2.557830e-01 1.700000e-04 5.475600e-02 1.446200e-02 7.000000e-05
17 7.020200e-02 6.945200e-02 2.367260e-01 1.740000e-04 5.162700e-02 1.493900e-02 6.800000e-05
17 6.809000e-02 7.634000e-02 2.481280e-01 1.700000e-04 3.626200e-02 1.537100e-02 7.600000e-05
17 6.696700e-02 7.595800e-02 2.603140e-01 1.700000e-04 1.543570e-01 1.229400e-02 6.500000e-05
17 6.844100e-02 7.157800e-02 2.522400e-01 1.690000e-04 5.265300e-02 1.395100e-02 6.700000e-05
17 7.316200e-02 7.928500e-02 2.931290e-01 1.690000e-04 8.124100e-02 1.641000e-02 7.200000e-05
17 7.298900e-02 7.124700e-02 2.542980e-01 1.720000e-04 5.321600e-02 1.334000e-02 6.400000e-05
17 6.676900e-02 7.312300e-02 2.513550e-01 1.770000e-04 4.700600e-02 1.486700e-02 6.900000e-05
19 7.297100e-02 8.448500e-02 3.076890e-01 1.740000e-04 3.280700e-02 1.720800e-02 7.000000e-05
19 8.186300e-02 8.618800e-02 3.082480e-01 1.710000e-04 1.329880e-01 1.612900e-02 6.800000e-05
19 7.244100e-02 8.498600e-02 3.093130e-01 1.730000e-04 4.587000e-02 1.444400e-02 6.400000e-05
19 7.559500e-02 7.968000e-02 3.194930e-01 1.690000e-04 1.259370e-01 1.579700e-02 7.200000e-05
19 7.383900e-02 8.231600e-02 3.017780e-01 1.750000e-04 8.347600e-02 1.659900e-02 6.900000e-05
19 7.141700e-02 8.140900e-02 3.122380e-01 1.690000e-04 9.728600e-02 1.556300e-02 6.700000e-05
19 7.034800e-02 8.258700e-02 3.075350e-01 1.740000e-04 2.207400e-02 1.391900e-02 6.400000e-05
19 6.819900e-02 8.190100e-02 3.177900e-01 1.670000e-04 1.608400e-02 1.439800e-02 7.500000e-05
19 8.093600e-02 8.084500e-02 3.046420e-01 1.750000e-04 7.091100e-02 1.336700e-02 6.500000e-05
19 8.048200e-02 8.259700e-02 3.097330e-01 1.730000e-04 4.457100e-02 1.342300e-02 6.600000e-05
21 8.365600e-02 9.173800e-02 3.857990e-01 1.720000e-04 8.096100e-02 1.716900e-02 6.400000e-05
21 8.618800e-02 8.934800e-02 3.589980e-01 1.720000e-04 3.568400e-02 1.738400e-02 8.100000e-05
21 7.487300e-02 9.087700e-02 3.455520e-01 1.680000e-04 8.303400e-02 1.552700e-02 6.900000e-05
21 7.497100e-02 9.336100e-02 3.882770e-01 1.730000e-04 9.345600e-02 1.520800e-02 6.400000e-05
21 8.076100e-02 9.456400e-02 3.769500e-01 1.800000e-04 9.982500e-02 1.628100e-02 6.700000e-05
21 8.740700e-02 9.069900e-02 3.625920e-01 1.690000e-04 3.698400e-02 1.599400e-02 6.800000e-05
21 7.975500e-02 9.232400e-02 3.773460e-01 1.710000e-04 3.642000e-02 1.745800e-02 6.400000e-05
21 8.807500e-02 9.545300e-02 3.766190e-01 1.680000e-04 8.631900e-02 1.575300e-02 7.100000e-05
21 8.118000e-02 9.235800e-02 3.690090e-01 1.720000e-04 7.406200e-02 1.792500e-02 7.100000e-05
21 7.826100e-02 9.478600e-02 3.762270e-01 1.770000e-04 5.260800e-02 1.623000e-02 6.600000e-05
23 9.808200e-02 1.027420e-01 4.528840e-01 1.740000e-04 4.007900e-02 1.793400e-02 7.100000e-05
23 9.443100e-02 1.069470e-01 4.615630e-01 1.680000e-04 5.748100e-02 1.698300e-02 6.700000e-05
23 9.158300e-02 9.956500e-02 4.117730e-01 1.990000e-04 5.276900e-02 1.791300e-02 7.500000e-05
23 9.337300e-02 1.005050e-01 4.497260e-01 1.840000e-04 4.692000e-02 1.641800e-02 6.600000e-05
23 9.272700e-02 1.018250e-01 4.459490e-01 1.830000e-04 6.244100e-02 1.911600e-02 6.700000e-05
23 9.418500e-02 9.979700e-02 4.418530e-01 1.730000e-04 6.740500e-02 2.066400e-02 9.300000e-05
23 8.590500e-02 1.054910e-01 4.414170e-01 1.780000e-04 1.438700e-02 1.844500e-02 6.500000e-05
23 9.108200e-02 1.030820e-01 4.402980e-01 1.880000e-04 5.291000e-02 1.615900e-02 6.200000e-05
23 9.585300e-02 1.017330e-01 4.391160e-01 1.860000e-04 1.037570e-01 1.937900e-02 7.400000e-05
23 8.945700e-02 9.991600e-02 4.554740e-01 1.710000e-04 2.641600e-02 1.920200e-02 7.000000e-05
25 1.013750e-01 1.118490e-01 4.984800e-01 2.130000e-04 9.214900e-02 1.866600e-02 7.300000e-05
25 1.041440e-01 1.096360e-01 5.098430e-01 1.710000e-04 1.865690e-01 1.839400e-02 7.100000e-05
25 1.104990e-01 1.109840e-01 5.250150e-01 1.720000e-04 3.171000e-02 2.028900e-02 6.900000e-05
25 1.138840e-01 1.135330e-01 5.292020e-01 1.730000e-04 1.204940e-01 1.782900e-02 7.100000e-05
25 1.049760e-01 1.095990e-01 4.978410e-01 1.740000e-04 1.258350e-01 2.058900e-02 7.300000e-05
25 1.058660e-01 1.109360e-01 5.085710e-01 1.930000e-04 1.070540e-01 1.972900e-02 8.500000e-05
25 1.051630e-01 1.127840e-01 5.139440e-01 2.200000e-04 3.691000e-02 1.797500e-02 6.700000e-05
25 1.140830e-01 1.127020e-01 5.310530e-01 1.760000e-04 5.042900e-02 2.056200e-02 6.900000e-05
25 9.759400e-02 1.131280e-01 5.144360e-01 1.730000e-04 5.789000e-02 1.736300e-02 8.100000e-05
25 1.044370e-01 1.110240e-01 4.929120e-01 1.740000e-04 3.488100e-02 2.154300e-02 8.000000e-05
27 1.259590e-01 1.160960e-01 5.798640e-01 1.800000e-04 2.594000e-02 2.089500e-02 6.400000e-05
27 9.794800e-02 1.210100e-01 1.942030e+00 1.740000e-04 4.332300e-02 2.073000e-02 6.600000e-05
27 1.230510e-01 1.233880e-01 6.257680e-01 1.900000e-04 9.819400e-02 2.092500e-02 7.200000e-05
27 1.201780e-01 1.267660e-01 5.929100e-01 1.790000e-04 1.325100e-01 1.986700e-02 7.000000e-05
27 1.155250e-01 1.247470e-01 5.869470e-01 1.770000e-04 4.168300e-02 1.758900e-02 6.700000e-05
27 1.174370e-01 1.181500e-01 5.605630e-01 1.710000e-04 1.401440e-01 2.012700e-02 6.700000e-05
27 1.012530e-01 1.263230e-01 5.980670e-01 1.770000e-04 1.107240e-01 1.958000e-02 7.400000e-05
27 1.094670e-01 1.287690e-01 5.779500e-01 1.920000e-04 1.415060e-01 2.008800e-02 7.300000e-05
27 1.147930e-01 1.260750e-01 5.865140e-01 1.700000e-04 6.174700e-02 1.718800e-02 7.500000e-05
27 1.129620e-01 1.191520e-01 5.825980e-01 1.740000e-04 4.872300e-02 1.996500e-02 7.300000e-05
29 1.741060e-01 1.328000e-01 6.984710e-01 1.790000e-04 5.816400e-02 1.998300e-02 6.800000e-05
29 1.136530e-01 1.282180e-01 6.627570e-01 1.750000e-04 1.077350e-01 2.034900e-02 7.300000e-05
29 1.420570e-01 1.366670e-01 6.853000e-01 1.790000e-04 1.590430e-01 2.007500e-02 7.700000e-05
29 1.059420e-01 1.238140e-01 6.443110e-01 2.070000e-04 4.371000e-02 2.082900e-02 7.600000e-05
29 1.278780e-01 1.282330e-01 6.343290e-01 1.730000e-04 1.223280e-01 2.239500e-02 7.300000e-05
29 1.227280e-01 1.311010e-01 6.611970e-01 1.720000e-04 8.090600e-02 2.096700e-02 6.900000e-05
29 1.505680e-01 1.355230e-01 6.737210e-01 1.700000e-04 1.532720e-01 2.167500e-02 7.300000e-05
29 1.257280e-01 1.244210e-01 6.513350e-01 1.750000e-04 3.576800e-02 2.428800e-02 6.800000e-05
29 1.235780e-01 1.281000e-01 6.464220e-01 1.740000e-04 3.561800e-02 2.018900e-02 6.600000e-05
29 1.410460e-01 1.396310e-01 7.003900e-01 1.690000e-04 1.135640e-01 2.024800e-02 8.500000e-05
31 1.466210e-01 1.406880e-01 7.127650e-01 1.680000e-04 2.799500e-02 2.181600e-02 7.300000e-05
31 1.499890e-01 1.404880e-01 7.475450e-01 1.760000e-04 1.470870e-01 2.123000e-02 7.200000e-05
31 1.603020e-01 1.475160e-01 7.992790e-01 1.740000e-04 7.447600e-02 2.211600e-02 7.000000e-05
31 1.381160e-01 1.373630e-01 7.323780e-01 1.760000e-04 5.816200e-02 2.155100e-02 6.900000e-05
31 1.472210e-01 1.441690e-01 7.551200e-01 1.710000e-04 1.140490e-01 2.216600e-02 7.100000e-05
31 1.480800e-01 1.368250e-01 7.230520e-01 1.730000e-04 4.503300e-02 2.177800e-02 7.000000e-05
31 1.551970e-01 1.426970e-01 7.377310e-01 1.750000e-04 9.510300e-02 2.182000e-02 6.900000e-05
31 1.807110e-01 1.389570e-01 7.644280e-01 2.190000e-04 1.899180e-01 2.246400e-02 7.100000e-05
31 1.681030e-01 1.349400e-01 7.507110e-01 1.720000e-04 9.919300e-02 2.421500e-02 7.500000e-05
31 1.380130e-01 1.375060e-01 7.200340e-01 1.860000e-04 4.798900e-02 2.389000e-02 7.400000e-05
33 2.148590e-01 1.514410e-01 8.351360e-01 2.090000e-04 5.828900e-02 2.467200e-02 6.900000e-05
33 1.912130e-01 1.492330e-01 7.990060e-01 1.760000e-04 4.132700e-02 2.133800e-02 6.800000e-05
33 1.834590e-01 1.563370e-01 8.605150e-01 1.750000e-04 3.046200e-02 2.589300e-02 8.600000e-05
33 2.014850e-01 1.563040e-01 8.656750e-01 1.750000e-04 1.491240e-01 2.303900e-02 7.400000e-05
