1,0.007501,0.110492,0.016712,0.007697,0.036286,0.01583
2,0.005888,0.087779,0.016158,0.006857,0.032577,0.012052
3,0.008453,0.075725,0.023418,0.009581,0.045099,0.006729
4,0.009805,0.073459,0.025562,0.012226,0.055625,0.008832
5,0.012723,0.075063,0.030871,0.019531,0.080058,0.008927
6,0.014852,0.078021,0.030346,0.020143,0.100049,0.013775
7,0.021261,0.07976,0.03059,0.021365,0.096141,0.009007
8,0.020903,0.080019,0.035377,0.025756,0.11401,0.012602
9,0.024518,0.082374,0.043926,0.025175,0.123806,0.022919
10,0.031547,0.076865,0.048152,0.031649,0.156856,0.010513
11,0.037898,0.082088,0.04636,0.031931,0.143299,0.025144
12,0.03275,0.08078,0.055294,0.03642,0.186397,0.00751
13,0.036959,0.080574,0.068502,0.048535,0.219903,0.017245
14,0.044834,0.081699,0.079598,0.045311,0.18976,0.01928
15,0.046914,0.083768,0.080191,0.053416,0.207384,0.012884
16,0.057356,0.088356,0.07642,0.050278,0.215491,0.012832
17,0.048668,0.083195,0.086621,0.055438,0.22876,0.012593
18,0.059473,0.090725,0.087132,0.060019,0.245902,0.014482
19,0.062459,0.094178,0.10152,0.070219,0.326228,0.015452
20,0.070931,0.114927,0.125669,0.074423,0.260765,0.029788
21,0.063822,0.103476,0.126581,0.061058,0.25844,0.017223
22,0.064948,0.09841,0.108123,0.067661,0.28768,0.030723
23,0.069384,0.10815,0.128946,0.068687,0.292765,0.014474
24,0.079074,0.126502,0.115462,0.071758,0.27807,0.015718
25,0.086556,0.115825,0.12795,0.08591,0.331134,0.021799
26,0.088632,0.12529,0.149624,0.079819,0.352867,0.016367
27,0.084644,0.128599,0.156067,0.080765,0.345754,0.042406
28,0.095505,0.139654,0.147012,0.085691,0.362963,0.028321
29,0.095855,0.161038,0.178737,0.094273,0.385238,0.031989
30,0.093126,0.175623,0.153128,0.100523,0.426864,0.036544
31,0.101199,0.169752,0.15974,0.094192,0.410001,0.021153
32,0.120727,0.1832,0.178725,0.095089,0.412158,0.03129
33,0.103547,0.172512,0.201143,0.101154,0.428004,0.050379
34,0.119324,0.224724,0.187898,0.103042,0.45768,0.024349
35,0.126357,0.224088,0.212184,0.104108,0.458894,0.04154
36,0.123162,0.237073,0.228573,0.112191,0.50315,0.042008
37,0.129856,0.280833,0.203398,0.113721,0.504763,0.012998
38,0.128215,0.277642,0.218402,0.121991,0.532795,0.090794
39,0.134919,0.298382,0.223076,0.122952,0.54189,0.057061
40,0.161227,0.353966,0.251704,0.125719,0.554913,0.020433
41,0.146497,0.298681,0.268864,0.12869,0.572362,0.029552
42,0.17252,0.476824,0.242487,0.139894,0.591012,0.042093
43,0.156661,0.369076,0.27136,0.135998,0.60623,0.098801
44,0.18403,0.597224,0.311982,0.142606,0.640297,0.04294
45,0.183096,0.483676,0.311473,0.151799,0.637698,0.172105
46,0.185223,0.435439,0.343648,0.146451,0.649336,0.037052
47,0.187836,0.676057,0.295436,0.151729,0.665885,0.088354
48,0.18912,0.630851,0.336567,0.151962,0.667666,0.137504
49,0.198077,0.818134,0.388098,0.153302,0.688353,0.050279
50,0.199516,0.956063,0.402794,0.158533,0.716464,0.02392
